
running 75 tests
thread 'feature_34_only_matching' panicked at tests\workdir.rs:227:13:


==========
command failed but expected success!

command: "C:\\Users\\mateo\\AppData\\Local\\Temp\\.tmp6n6su1\\workspace_l0\\target\\debug\\deps\\rg.exe" "Sherlock" "." "--only-matching"
cwd: C:\Users\mateo\AppData\Local\Temp\.tmp6n6su1\workspace_l0\target\debug\deps\ripgrep-tests\feature_34_only_matching\31

status: exit code: 0xc0000409

stdout: 

stderr: 
thread 'main' panicked at library\core\src\panicking.rs:218:5:
attempted to leave type `ignore::walk::Message` uninitialized, which is invalid
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
thread caused non-unwinding panic. aborting.


==========


---- feature_34_only_matching_line_column stdout ----

thread 'feature_34_only_matching_line_column' panicked at tests\workdir.rs:227:13:


==========
command failed but expected success!

command: "C:\\Users\\mateo\\AppData\\Local\\Temp\\.tmp6n6su1\\workspace_l0\\target\\debug\\deps\\rg.exe" "Sherlock" "." "--only-matching" "--column" "--line-number"
cwd: C:\Users\mateo\AppData\Local\Temp\.tmp6n6su1\workspace_l0\target\debug\deps\ripgrep-tests\feature_34_only_matching_line_column\32

status: exit code: 0xc0000409

stdout: 

stderr: 
thread 'main' panicked at library\core\src\panicking.rs:218:5:
attempted to leave type `ignore::walk::Message` uninitialized, which is invalid
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
thread caused non-unwinding panic. aborting.


==========


---- feature_419_zero_as_shortcut_for_null stdout ----

thread 'feature_419_zero_as_shortcut_for_null' panicked at tests\workdir.rs:227:13:


==========
command failed but expected success!

command: "C:\\Users\\mateo\\AppData\\Local\\Temp\\.tmp6n6su1\\workspace_l0\\target\\debug\\deps\\rg.exe" "Sherlock" "." "-0" "--count"
cwd: C:\Users\mateo\AppData\Local\Temp\.tmp6n6su1\workspace_l0\target\debug\deps\ripgrep-tests\feature_419_zero_as_shortcut_for_null\35

status: exit code: 0xc0000409

stdout: 

stderr: 
thread 'main' panicked at library\core\src\panicking.rs:218:5:
attempted to leave type `ignore::walk::Message` uninitialized, which is invalid
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
thread caused non-unwinding panic. aborting.


==========


---- feature_45_precedence_internal stdout ----

thread 'feature_45_precedence_internal' panicked at tests\workdir.rs:227:13:


==========
command failed but expected success!

command: "C:\\Users\\mateo\\AppData\\Local\\Temp\\.tmp6n6su1\\workspace_l0\\target\\debug\\deps\\rg.exe" "test" "." "--ignore-file" ".not-an-ignore1" "--ignore-file" ".not-an-ignore2"
cwd: C:\Users\mateo\AppData\Local\Temp\.tmp6n6su1\workspace_l0\target\debug\deps\ripgrep-tests\feature_45_precedence_internal\36

status: exit code: 0xc0000409

stdout: 

stderr: 
thread 'main' panicked at library\core\src\panicking.rs:218:5:
attempted to leave type `ignore::walk::Message` uninitialized, which is invalid
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
thread caused non-unwinding panic. aborting.


==========


---- feature_45_precedence_with_others stdout ----

thread 'feature_45_precedence_with_others' panicked at tests\workdir.rs:227:13:


==========
command failed but expected success!

command: "C:\\Users\\mateo\\AppData\\Local\\Temp\\.tmp6n6su1\\workspace_l0\\target\\debug\\deps\\rg.exe" "test" "." "--ignore-file" ".not-an-ignore"
cwd: C:\Users\mateo\AppData\Local\Temp\.tmp6n6su1\workspace_l0\target\debug\deps\ripgrep-tests\feature_45_precedence_with_others\37

status: exit code: 0xc0000409

stdout: 

stderr: 
thread 'main' panicked at library\core\src\panicking.rs:218:5:
attempted to leave type `ignore::walk::Message` uninitialized, which is invalid
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
thread caused non-unwinding panic. aborting.


==========


---- feature_45_relative_cwd stdout ----

thread 'feature_45_relative_cwd' panicked at tests\workdir.rs:227:13:


==========
command failed but expected success!

command: "C:\\Users\\mateo\\AppData\\Local\\Temp\\.tmp6n6su1\\workspace_l0\\target\\debug\\deps\\rg.exe" "test" "."
cwd: C:\Users\mateo\AppData\Local\Temp\.tmp6n6su1\workspace_l0\target\debug\deps\ripgrep-tests\feature_45_relative_cwd\38

status: exit code: 0xc0000409

stdout: 

stderr: 
thread 'main' panicked at library\core\src\panicking.rs:218:5:
attempted to leave type `ignore::walk::Message` uninitialized, which is invalid
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
thread caused non-unwinding panic. aborting.


==========


---- feature_68_no_ignore_vcs stdout ----

thread 'feature_68_no_ignore_vcs' panicked at tests\workdir.rs:227:13:


==========
command failed but expected success!

command: "C:\\Users\\mateo\\AppData\\Local\\Temp\\.tmp6n6su1\\workspace_l0\\target\\debug\\deps\\rg.exe" "test" "." "--no-ignore-vcs"
cwd: C:\Users\mateo\AppData\Local\Temp\.tmp6n6su1\workspace_l0\target\debug\deps\ripgrep-tests\feature_68_no_ignore_vcs\39

status: exit code: 0xc0000409

stdout: 

stderr: 
thread 'main' panicked at library\core\src\panicking.rs:218:5:
attempted to leave type `ignore::walk::Message` uninitialized, which is invalid
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
thread caused non-unwinding panic. aborting.


==========


---- feature_70_smart_case stdout ----

thread 'feature_70_smart_case' panicked at tests\workdir.rs:227:13:


==========
command failed but expected success!

command: "C:\\Users\\mateo\\AppData\\Local\\Temp\\.tmp6n6su1\\workspace_l0\\target\\debug\\deps\\rg.exe" "sherlock" "." "--smart-case"
cwd: C:\Users\mateo\AppData\Local\Temp\.tmp6n6su1\workspace_l0\target\debug\deps\ripgrep-tests\feature_70_smart_case\41

status: exit code: 0xc0000409

stdout: 

stderr: 
thread 'main' panicked at library\core\src\panicking.rs:218:5:
attempted to leave type `ignore::walk::Message` uninitialized, which is invalid
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
thread caused non-unwinding panic. aborting.


==========


---- feature_7_dash stdout ----

thread 'feature_7_dash' panicked at tests\workdir.rs:227:13:


==========
command failed but expected success!

command: "C:\\Users\\mateo\\AppData\\Local\\Temp\\.tmp6n6su1\\workspace_l0\\target\\debug\\deps\\rg.exe" "-f-" "."
